Index,Borehole,Longitude,Latitude,Elevation,Depth start,Depth end,nK,nT,HF,HF error,HFC,HFC error,Source,Data
D1,Portmore,706855.745545778,943666.882623261,103,442,579,14,187,78.4391167933,10.337505036,86.6378072055,11.4253312276,IC,no
M10,Killimor,576614.95009406,716675.348515035,61,613,613,173,200,60.7594829182,4.5225114005,75.98670281,6.3610121701,IC,no
M11,Tynagh,574348.088638634,709268.849559849,61,536,536,124,166,59.6446398688,7.819144751,74.0075844672,9.6105820581,IC,no
N15,Moate,621128.232729047,744174.254096834,91,495,495,127,161,66.8054986003,9.2946328185,82.2445994019,10.9214659443,IC,no
R5,Rathkeale,531927.156389944,640133.582745759,46,540,540,148,180,49.5142068161,3.3121709719,62.8363421846,5.1621510952,IC,no
R13,Sixmilebridge,545990.687456052,666848.706747885,30,490,490,48,133,54.320609417,8.9719879659,71.4882116314,10.9109807965,IC,no
T1,Avoca,720069.706720483,681019.108349971,122,482,482,25,83,63.2166771722,9.9303483367,80.0011416802,11.8471979613,IC,no
M6,Eyrecourt,591094.852264429,718480.956796986,76,200,400,18,41,53.4666591496,3.2233300873,70.3840150688,5.8910667993,IRL,yes
N3,Ballinalack,634726.130859212,764501.364153115,76,140,300,10,50,60.6600040782,5.1627727794,76.9082198826,7.5570292011,IRL,yes
N9,Navan,683340.024817594,767244.507151494,61,280,570,15,70,64.5010766499,3.4284103855,80.9475899025,5.6076378696,IRL,yes
N18,Castlejordan,658788.451609483,740102.201565555,91,620,790,17,16,61.3684443901,2.8810772241,73.9580686591,4.2560231369,IRL,yes
R2,Slieve Allaun,517911.921099223,675743.067574486,167,580,860,24,56,68.8245266376,3.2032113022,81.3479468287,4.5503719595,IRL,yes
R4,Courtbrown,532885.31850447,654957.016378525,2,150,350,12,60,47.5331178241,3.5500712777,63.684892977,5.9269197141,IRL,yes
D2,Larne,740691.94976465,902253.32226979,10,100,2000,119,200,56.9552914984,5.6295594994,59.3891200842,6.0637436337,UK,no
H5,Killary Glebe,684989.70012181,868292.865343249,51,1158,1158,54,1,58.4079727273,8.3389687605,65.9694454749,9.3969846534,UK,no
J9,Ballymacilroy,707374.110912691,894561.033943258,73,100,494,30,160,56.8863880547,6.3193607682,60.4749498059,6.9112147651,UK,no
J10,Annalong valley,734182.752774636,823961.703773536,55,66,66,20,20,87,0,87,0,UK,no
J11,Seefin quarry,736134.28629747,823067.930970187,43,149,149,48,47,84,0,84,0,UK,no
NA,Ros a Mhil,497310.359501853,724024.679867686,0,5,139,27,28,78.8572202049,9.2794820568,98.5670360344,12.571603256,BB,yes
NA,Camus,494282.38814676,735914.129400887,0,1,126,26,26,46.0212752573,8.8810890429,65.7619280091,12.4665799547,BB,yes
NA,Barnesmore,603221.369790587,885771.291457378,0,4,202,30,40,82.8341526496,7.9512969679,101.5243040768,10.7617337194,BB,yes
NA,Sally Gap,711705.666050103,712357.53125571,0,5,218,37,44,41.4073163584,4.8222668038,57.6291633814,7.8328372537,BB,yes
